equipacasa,goloscasa,golosfora,equipafora,funcao,escalao,competicao,amareloscasa,amarelosfora,vermelhoscasa,vermelhosfora,penaltyscasa,penaltysfora,compensacao1p,compensacao2p
santaeugenia,4,2,andorinhas,a,seniores,amigavel,1,2,0,0,1,1,4,0
sequeirense,1,0,lage,aa,seniores,taça,3,2,0,0,0,0,3,7
brufense,1,5,ribeirao,a,juvenis,1div,0,2,0,0,0,0,3,2
marinhas,2,1,santamaria,aa,iniciados,2div,0,0,0,0,0,0,0,3
gilvicente,4,0,amares,aa,juvenis,honra,3,3,0,0,0,0,1,3
gandra,10,1,cristelo,aa,iniciados,2div,0,0,0,0,1,0,0,1
famalicao,11,0,tadim,aa,juvenis,femsub17,0,0,0,0,1,0,1,0
alvelos,17,0,cristelo,aa,iniciados,2div,0,1,0,0,0,0,1,0
roriz,4,1,forjaes,aa,juvenis,2div,1,1,0,0,1,1,0,2
ucha,1,4,marinhas,a,iniciados,2div,1,1,0,0,0,1,2,4
sequeirense,1,2,cabreiros,juniores,2div,4,7,2,0,1,2,2,12
lousado,4,2,operario,juniores,taça,4,5,1,0,1,0,4,8
viatodos,3,0,apulia,juvenis,2div,3,2,0,0,0,0,3,4
este,7,0,viatodos,juvenis,1div,3,2,0,0,2,0,1,0
este,4,5,vilaverdense,iniciados,1div,0,6,1,0,0,0,2,4
dumiense,3,0,ceramistas,iniciados,2div,0,0,0,0,1,0,1,2
prado,0,4,vizela,juvenis,honra,1,2,0,0,0,0,3,7
